Id;Question;Answer
1;605 no.'lu Otobüs Hattý’nýn duraklarý nelerdir?;605 no'lu Otobüs Hattýnýn duraklarý, ADÜ, Forum Aydýn, Zafer Meydaný, Tren Garý ve Otogar'dýr.
2;605 no.'lu Otobüs Hattý’nýn kalkýþ saatleri nelerdir?;605 no.'lu Otobüs Hattý’nýn kalkýþ saatleri 6.15, 9.00, 9.45, 12.05, 14.20, 16.50 ve 18.30'dur.
3;605 no.'lu Otobüs Hattý’nýn Forum Aydýn'a varýþ süresi nedir?;605 no.'lu Otobüs Hattý’nýn Forum Aydýn'a varýþ süresi 10 dakikadýr.
4;605 no.'lu Otobüs Hattý’nýn Zafer Meydaný'na varýþ süresi nedir?;605 no.'lu Otobüs Hattý’nýn Zafer Meydaný'na varýþ süresi 25 dakikadýr.
5;605 no.'lu Otobüs Hattý’nýn Tren Garý'na varýþ süresi nedir?;605 no.'lu Otobüs Hattý’nýn Tren Garý'na varýþ süresi 30 dakikadýr.
6;605 no.'lu Otobüs Hattý’nýn Otogar'a varýþ süresi nedir?;605 no.'lu Otobüs Hattý'nýn Otogar'a varýþ süresi 50 dakikadýr.
7;605 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý nedir?;605 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý herkes için 2.90 TL'dir.
8;606 no.'lu Otobüs Hattý'nýn duraklarý nelerdir?;606 no'lu Otobüs Hattýnýn duraklarý, Karpuzlu, Koçarlý, Ýncirliova, Söke ve Kuþadasý'dýr.
9;606 no.'lu Otobüs Hattý'nýn kalkýþ saatleri nelerdir?;606 no.'lu Otobüs Hattý'nýn kalkýþ saatleri 6.00, 8.45, 9.30, 11.50, 14.05, 16.35 ve 18.15'dir.
10;606 no.'lu Otobüs Hattý'nýn Koçarlý'ya varýþ süresi nedir?;606 no.'lu Otobüs Hattý'nýn Koçarlý'ya varýþ süresi 35 dakikadýr.
11;606 no.'lu Otobüs Hattý'nýn Ýncirliova'ya varýþ süresi nedir?;606 no.'lu Otobüs Hattý'nýn Ýncirliova'ya varýþ süresi 1 saat 25 dakikadýr.
12;606 no.'lu Otobüs Hattý'nýn Söke'ye varýþ süresi nedir?;606 no.'lu Otobüs Hattý'nýn Söke'ye varýþ süresi 1 saat 55 dakikadýr.
13;606 no.'lu Otobüs Hattý'nýn Kuþadasý'na varýþ süresi nedir?;606 no.'lu Otobüs Hattý'nýn Kuþadasý'na varýþ süresi 1 saat 35 dakikadýr.
14;606 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý nedir?;606 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý öðrenciler için 2.50 TL ile 4.40 TL arasýnda, öðrenci olmayanlarda 2.90 TL ile 4.80 TL arasýnda deðiþmektedir.
15;607 no.'lu Otobüs Hattý'nýn duraklarý nelerdir?;607 no'lu Otobüs Hattýnýn duraklarý, Köþk, Germencik, Efeler, Bozdoðan ve Çine'dir.
16;607 no.'lu Otobüs Hattý'nýn kalkýþ saatleri nelerdir?;607 no.'lu Otobüs Hattý'nýn kalkýþ saatleri 7.30, 10.15, 11.00, 13.20, 15.35, 18.05, 19.45'dir.
17;607 no.'lu Otobüs Hattý'nýn Germencik'e varýþ süresi nedir?;607 no.'lu Otobüs Hattý'nýn Germencik'e varýþ süresi 30 dakikadýr.
18;607 no.'lu Otobüs Hattý'nýn Efeler'e varýþ süresi nedir?;607 no.'lu Otobüs Hattý'nýn Efeler'e varýþ süresi 55 dakikadýr.
19;607 no.'lu Otobüs Hattý'nýn Bozdoðan'a varýþ süresi nedir?;607 no.'lu Otobüs Hattý'nýn Bozdoðan'a varýþ süresi 1 saat 15 dakikadýr.
20;607 no.'lu Otobüs Hattý'nýn Çine'ye varýþ süresi nedir?;607 no.'lu Otobüs Hattý'nýn Çine'ye varýþ süresi 1 saat 35 dakikadýr.
21;607 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý nedir?;607 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý öðrenciler için 2.60 TL ile 3.50 TL arasýnda, öðrenci olmayanlarda 3 TL ile 3.90 TL arasýnda deðiþmektedir.
22;608 no.'lu Otobüs Hattý'nýn duraklarý nelerdir?;608 no'lu Otobüs Hattýnýn duraklarý, Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak ve Karacasu'dur.
23;608 no.'lu Otobüs Hattý'nýn kalkýþ saatleri nelerdir?;608 no.'lu Otobüs Hattý'nýn kalkýþ saatleri 7.20, 8.20, 9.20, 12.20, 14.20, 16.20, 18.20'dir.
24;608 no.'lu Otobüs Hattý'nýn Nazilli'ye varýþ süresi nedir?;608 no.'lu Otobüs Hattý'nýn Nazilli'ye varýþ süresi 20 dakikadýr.
25;608 no.'lu Otobüs Hattý'nýn Sultan Hisar'a varýþ süresi nedir?;608 no.'lu Otobüs Hattý'nýn Sultan Hisar'a varýþ süresi 1 saat 5 dakikadýr.
26;608 no.'lu Otobüs Hattý'nýn Kuyucak'a varýþ süresi nedir?;608 no.'lu Otobüs Hattý'nýn Kuyucak'a varýþ süresi 1 saat 20 dakikadýr.
27;608 no.'lu Otobüs Hattý'nýn Karacasu'ya varýþ süresi nedir?;608 no.'lu Otobüs Hattý'nýn Karacasu'ya varýþ süresi 1 saat 20 dakikadýr.
28;608 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý nedir?;608 no.'lu Otobüs Hattý'nýn fiyatlandýrmasý öðrenciler için 2.80 TL ile 3.50 TL arasýnda, öðrenci olmayanlarda 3.20 TL ile 3.90 TL arasýnda deðiþmektedir.
29;605 no.’lu otobüs ücretleri nelerdir?;Otobüs ücreti 2.90 TL’dir.
30;608 otobüsünde kaç durak vardýr?;5 durak vardýr.
31;606 otobüsünde duraklarýn adý nedir?;Kuþadasý, Söke, Ýncirliova, Koçarlý, Karpuzlu.
32;607 otobüsünün 3. seferi Köþk duraðýndan saat kaçta kalkýyor?;Saat 11 de kalkýyor.
33;Otobüslerde kaç sefer vardýr?;Otobüslerde 7 sefer vardýr.
34;Kuþadasý Karpuzlu arasý yolculuk kaç saat sürer?;2 saat 40 dk. yolculuk sürer.
35;Yeni Pazar Sultan Hisar duraklarý arasý öðrenci ücreti ne kadar?;Öðrenci ücreti 3 TL.
36;605 numaralý otobüs hangi duraklara gitmektedir?;605 numaralý otobüsümüz sýrasýyla Adü, Forum Aydýn, Zafer Meydaný, Tren Garý, Otogar duraklarýna gitmektedir.
37;606 numaralý otobüs hangi duraklara gitmektedir?;606 numaralý otobüsümüz sýrasýyla Karpuzlu, Koçarlý, Ýncirliova, Söke, Kuþadasý duraklarýna gitmektedir.
38;607 numaralý otobüs hangi duraklara gitmektedir?;607 numaralý otobüsümüz sýrasýyla Köþk, Germencik, Efeler, Bozdoðan, Çine duraklarýna gitmektedir.
39;608 numaralý otobüs hangi duraklara gitmektedir?;608 numaralý otobüsümüz sýrasýyla Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak, Karacasu duraklarýna gitmektedir.
40;Adü'ye gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Adü duraðýna 605 numaralý otobüsümüz gitmektedir.
41;Forum Aydýn'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Forum Aydýn duraðýna 605 numaralý otobüsümüz gitmektedir.
42;Zafer Meydaný'na gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Zafer Meydaný duraðýna 605 numaralý otobüsümüz gitmektedir.
43;Tren garý'na gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Tren garý duraðýna 605 numaralý otobüsümüz gitmektedir.
44;Otogar'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Otogar duraðýna 605 numaralý otobüsümüz gitmektedir.
45;Karpuzlu'ya gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Karpuzlu duraðýna 606 numaralý otobüsümüz gitmektedir.
46;Koçarlý'ya gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Koçarlý duraðýna 606 numaralý otobüsümüz gitmektedir.
47;Ýncirliova'ya gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Ýncirliova duraðýna 606 numaralý otobüsümüz gitmektedir.
48;Söke'ye gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Söke duraðýna 606 numaralý otobüsümüz gitmektedir.
49;Kuþadasý'na gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Kuþadasý duraðýna 606 numaralý otobüsümüz gitmektedir.
50;Köþk'e gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Köþk duraðýna 607 numaralý otobüsümüz gitmektedir.
51;Germencik'e gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Germencik duraðýna 607 numaralý otobüsümüz gitmektedir.
52;Efeler'e gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Efeler duraðýna 607 numaralý otobüsümüz gitmektedir.
53;Bozdoðan'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Bozdoðan duraðýna 607 numaralý otobüsümüz gitmektedir.
54;Çine'ye gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Çine duraðýna 607 numaralý otobüsümüz gitmektedir.
55;Yeni Pazar'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Yeni Pazar duraðýna 608 numaralý otobüsümüz gitmektedir.
56;Nazilli'ye gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Nazilli duraðýna 608 numaralý otobüsümüz gitmektedir.
57;Sultan Hisar'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Sultan Hisar duraðýna 608 numaralý otobüsümüz gitmektedir.
58;Kuyucak'a gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Kuyucak duraðýna 608 numaralý otobüsümüz gitmektedir.
59;Karacasu'ya gitmek istiyorum, hangi numaralý otobüse binmeliyim?;Karacasu duraðýna 608 numaralý otobüsümüz gitmektedir.
60;Adü'den Otogar'a giden birinci sefer saat kaçta?;Adü'den Otogar'a giden birinci seferimiz saat 06.15'te kalkmaktadýr.
61;Adü'den Otogar'a giden ikinci sefer saat kaçta?;Adü'den Otogar'a giden ikinci seferimiz saat 09.00'da kalkmaktadýr.
62;Adü'den Otogar'a giden üçüncü sefer saat kaçta?;Adü'den Otogar'a giden üçüncü seferimiz saat 09.45'te kalkmaktadýr.
63;Adü'den Otogar'a giden dördüncü sefer saat kaçta?;Adü'den Otogar'a giden dördüncü seferimiz saat 12.05'te kalkmaktadýr.
64;Adü'den Otogar'a giden beþinci sefer saat kaçta?;Adü'den Otogar'a giden beþinci seferimiz saat 14.20'de kalkmaktadýr.
65;Adü'den Otogar'a giden altýncý sefer saat kaçta?;Adü'den Otogar'a giden altýncý seferimiz saat 16.50'de kalkmaktadýr.
66;Adü'den Otogar'a giden yedinci sefer saat kaçta?;Adü'den Otogar'a giden yedinci seferimiz saat 18.30'da kalkmaktadýr.
